tha,eng
อยู่สำราญ,Yoosamran
อยู่เหลียง,Yooliang
อรุณรักษ์ถาวร,Arunrakthaworn
ออสวาลด์,Auswald
อักษรพันธ์,Aksornpan
อังคบุตร,Ungkabut
อัฐภาคี,Attapakee
อันยัน,Unyan
อัศวตั้งเสถียร,Asawatangsatian
อามูดี,Amudee
อารมย์,Arom
อารักษ์,Arak
อำภา,Umpa
อิทร์แก้ว,Inkaew
อินต๊ะปัญญา,Intapanya
อินถา,Intha
อินทร์กอง,Inkong
อินทร์ขจร,Inkajorn
อินทสุทธิ,Inthasut
อินทเรืองศาล,Intharueangsarn
อินธิ,Inthi
อินผิ,Inpi
อินราช,Inratch
อินร์โทน,Inthon
อินเจียม,Injiam
อีสเทอเลฟา,Easterlefa
อุตมะโยธิน,Utamayothin
อุบลรัตน์,Ubonrat
อุปมา,Upama
อุ่นตุ้ย,Untuy
อู่หิรัญ,Uhiran
อ่วนจันทร์,Ouamjan
อ่วมทองดี,Ouamthongdee
อ่วมอ่ำ,Ouamum
อ่อนคง,Ornkong
อ่อนชุลี,Ornchulee
อ่อนสุวรรณ,Ornsuwan
อ้างสกุล,Angsakul
ฮูเซ็น,Hyusen
เกตุเทศ,Ketthet
เกราะแก้ว,Krokaew
เกษุแก้ว,Keskaew
เกาะเหม,Kohhem
เกาะแก้ว,Kohkaew
เกาเบอร์,Kaober
เกิดกล่ำ,Kurtklam
เกิดทรัพย์,Kurtsab
เกิดสวัสดิ์,Kurtsawas
เกิดหนู,Kurtnu
เกิดเกลี้ยง,Kurtkliang
เกื้อทอง,Kueathong
เกื้อสกุล,Kueasakul
เกื้อเส้ง,Kueaseng
เขมะวงค์,Kamawong
เขียวกล่ำ,Kiawklam
เขียวสุด,Kiawsud
เขียวแก้ว,Kiawkaew
เขื่อแก้วสิงหื,Kueakaewsing
เคนทวาย,Kenthawai
เคยดี,Koeidee
เงินนิ่ม,Ngoennim
เจนเจนประเสริฐ,Jenjenprasert
เจริญครี,Charoensri
เจริญธรรมวัฒน์,Charoenthammawat
เจริญภักดี,Charoenpakdee
เจริญวงศ์,Charoenwong
เจริญสุข,Charoensuk
เจียมจิตร,Jiamjit
เจ้ามีศิลป์,Jaomeeslip
เจ๊ะโส๊ะ,Jeso
เฉยรัมย์,Choeyram
เฉิน,Choen
เชยคำดี,Choekamdee
เชาวนะสินธุ์,Chaonasin
เชื้อขาว,Chueakao
เชื้อยวน,Chueayuan
เดชสถิตย์,Dejsathit
เดชสุวรรณ,Dejsuwan
เดชา,Decha
เด่นยเด่น,Denyaden
เตียงน้อย,Tiangnoy
เต็มสวัสดิ์,Temsawas
เทพผสุท,Theppasut
เทพรินทร์,Theprin
เทพวิเชียร,Thepwichian
เทพศร,Thepsorn
เทพสุทธิ์,Thepsuth
เทพากุล,Thepakul
เทศประสิทธิ์,Tesprasit
เทียนฉิมพลี,Thianchimplee
เทียนสวัสดิ์,Thiansawas
เทียบการณ์,Thiabkan
เที่ยงตรง,Thiangtrong
เที่ยงธรรม,Thiangtham
เทือกเถาสาร,Tueakthaosan
เนตรนวลใย,Netnuanyai
เนาสน,Naoson
เนินอุไร,Noenurai
เบญจวรรณ,Benjawan
เปรมจิต,Premjit
เปล่งจำรัส,Plengjamras
เปียกำเนิด,Piakamnerd
เป็นสุข,Pensuk
เผือกพิพัฒน์,Pueakpipat
เผือกวัฒนะ,Pueakwatthana
เผือกเพชร,Pueakpetch
เพชรจู,Petchju
เพชรชมภู,Petchchompu
เพชรชัย,Petchchai
เพชรทรงเกลี้ยง,Petchsongkliang
เพชรทอง,Petchthong
เพชรพูนทรัพย์,Petchpunsab
เพชรมาส,Petchmas
เพชรฤทธิ์,Petchrit
เพชรสุทธิ,Petchsuthi
เพชรแก้ว,Petchkaew
เพิ่มพูน,Pormpun
เพียรศรี,Piansri
เพื่อนรัก,Pueanrak
เพ็งสุวรรณ,Pengsuwan
เพ็งโคตร,Pengkod
เพ็ชรการ,Petchakan
เพ็ชรพวง,Petchpuang
เพ็ชรรัตน์,Petcharat
เมฆฉาย,Mekchai
เยื้อนหนูวงค์,Yueannuwong
เริงวิจิตรา,Roengwijitra
เริงสมุทร,Roengsamuth
เรืองคำ,Rueangkam
เรืองฤทธิ์,Rueangrit
เรืองศรี,Rueangsri
เร่นางรอง,Renangrong
เลิศวิไลลักษณ์,Loedwilailak
